Col1,Col2,Col3
2.19,8.52,-6.32
1.67,6.60,-4.93
9.85,3.95,5.90
1.97,8.46,-6.49
1.89,6.48,-4.59
6.08,5.96,0.12
6.71,5.91,0.80
3.73,2.02,1.70
9.91,8.83,1.09
3.15,1.77,1.38
6.49,3.60,2.89
1.48,6.27,-4.79
2.46,2.31,0.15
8.77,6.45,2.32
9.50,5.57,3.93
3.91,5.46,-1.55
3.11,5.54,-2.43
3.58,7.27,-3.69
2.74,3.42,-0.68
4.51,6.62,-2.11
9.67,8.85,0.81
4.64,3.58,1.06
1.72,9.74,-8.02
5.47,4.72,0.75
3.90,7.20,-3.30
4.35,6.07,-1.72
7.33,6.04,1.29
1.00,5.14,-4.14
3.80,8.85,-5.04
9.37,2.35,7.02
8.93,2.93,6.00
3.49,3.34,0.15
7.03,6.78,0.25
2.16,9.37,-7.21
9.84,4.63,5.21
1.56,2.98,-1.42
1.20,5.69,-4.49
9.47,6.24,3.23
9.77,5.35,4.42
7.05,7.41,-0.36
5.46,2.97,2.49
9.83,4.11,5.72
4.73,1.47,3.27
1.59,6.08,-4.49
6.56,4.23,2.32
8.85,4.05,4.80
5.88,6.85,-0.96
4.23,8.76,-4.52
3.11,6.94,-3.83
4.13,3.81,0.32
2.57,3.48,-0.91
1.33,4.75,-3.42
7.92,3.63,4.29
9.76,2.44,7.32
8.11,2.93,5.17
8.25,4.74,3.51
2.42,7.31,-4.89
6.58,4.58,2.00
9.73,8.57,1.16
1.53,8.45,-6.92
1.64,3.51,-1.88
1.76,4.32,-2.56
2.27,4.28,-2.02
6.46,3.43,3.03
3.49,7.64,-4.15
4.11,4.55,-0.44
5.95,6.51,-0.56
7.75,8.39,-0.64
2.52,3.78,-1.26
5.38,5.27,0.10
8.43,5.81,2.62
5.56,2.38,3.18
4.92,5.37,-0.45
2.63,6.78,-4.14
3.10,6.64,-3.54
5.59,1.72,3.87
8.92,4.09,4.83
7.70,5.56,2.14
7.72,3.75,3.97
4.20,5.92,-1.73
4.62,5.21,-0.58
5.84,7.31,-1.47
9.49,4.80,4.69
5.20,3.77,1.42
1.42,5.14,-3.72
2.63,5.37,-2.73
7.54,6.26,1.28
8.85,4.39,4.46
3.61,6.89,-3.28
4.68,5.42,-0.74
2.41,4.48,-2.08
3.58,2.47,1.12
7.14,2.50,4.63
3.61,2.43,1.19
1.24,9.20,-7.97
7.36,8.37,-1.01
1.78,5.21,-3.43
3.23,4.61,-1.38
6.94,4.12,2.82
4.45,2.66,1.80
6.51,8.96,-2.44
4.10,2.86,1.24
5.97,8.72,-2.75
9.31,6.76,2.55
9.09,1.91,7.18
3.47,2.28,1.19
7.81,6.07,1.74
5.19,7.83,-2.65
2.36,5.59,-3.23
5.46,3.24,2.21
3.77,7.89,-4.12
7.66,6.20,1.46
8.26,8.48,-0.23
7.46,7.32,0.14
5.29,1.29,4.00
5.96,2.23,3.74
7.43,6.55,0.88
6.61,5.48,1.13
2.49,1.73,0.76
1.68,3.37,-1.69
6.31,5.22,1.10
4.57,7.86,-3.30
1.02,6.29,-5.27
1.59,3.39,-1.80
5.19,7.11,-1.92
5.26,1.26,4.01
4.23,2.24,1.99
6.24,1.07,5.17
2.75,4.19,-1.44
6.28,9.84,-3.55
5.23,7.51,-2.28
7.13,3.46,3.67
9.48,5.69,3.79
3.51,7.02,-3.51
9.04,1.38,7.66
5.02,6.50,-1.49
7.22,4.95,2.27
4.66,6.21,-1.55
4.67,3.27,1.39
9.09,7.36,1.73
9.16,3.75,5.41
3.26,7.66,-4.40
6.42,2.71,3.71
2.22,3.35,-1.13
5.99,5.86,0.13
4.92,2.91,2.01
3.97,4.94,-0.97
8.39,9.59,-1.20
2.49,3.36,-0.87
4.32,4.38,-0.07
7.24,2.49,4.75
9.83,1.64,8.20
5.19,7.13,-1.93
2.80,4.33,-1.53
5.09,5.65,-0.56
7.24,6.64,0.60
2.50,2.63,-0.12
5.14,7.55,-2.41
4.07,3.70,0.36
1.68,4.76,-3.08
2.35,1.03,1.32
7.90,5.63,2.27
4.95,6.39,-1.43
2.09,2.40,-0.31
7.03,5.43,1.60
6.35,9.54,-3.18
7.01,8.01,-0.99
7.04,1.69,5.35
9.50,6.60,2.90
4.46,5.64,-1.18
6.21,5.74,0.47
5.48,8.17,-2.69
6.16,4.09,2.07
8.08,5.07,3.01
6.14,2.51,3.63
5.22,2.05,3.17
8.23,5.00,3.23
6.44,5.48,0.96
9.92,7.05,2.86
5.53,8.17,-2.64
5.43,2.90,2.53
4.52,1.84,2.69
9.25,1.38,7.87
1.64,8.00,-6.36
4.86,7.59,-2.74
4.69,8.28,-3.59
9.43,4.14,5.29
9.10,1.44,7.66
7.81,5.01,2.80
1.55,3.56,-2.01
8.84,1.78,7.07
6.67,7.17,-0.49
4.18,8.38,-4.20
7.55,8.71,-1.16
5.00,1.93,3.07
8.38,2.50,5.88
6.23,7.30,-1.08
7.38,4.87,2.51
5.44,7.64,-2.20
8.28,1.26,7.03
5.90,1.03,4.87
9.84,9.92,-0.08
2.22,4.76,-2.54
5.55,2.09,3.46
7.44,5.31,2.13
5.66,1.42,4.24
4.25,4.29,-0.03
3.81,6.38,-2.58
2.03,5.65,-3.62
9.96,5.43,4.53
7.96,1.49,6.47
8.32,4.32,4.00
9.61,2.41,7.20
4.10,1.71,2.39
9.86,5.68,4.18
8.60,1.60,7.00
3.77,8.75,-4.98
5.96,6.05,-0.09
6.70,1.96,4.74
5.71,6.92,-1.21
6.77,5.13,1.64
8.30,6.95,1.35
6.38,6.74,-0.35
5.11,3.32,1.79
7.20,8.96,-1.76
9.81,3.37,6.44
2.41,3.43,-1.02
8.74,1.60,7.15
8.66,8.07,0.59
7.25,1.95,5.30
8.23,4.69,3.54
5.82,3.18,2.64
8.01,7.10,0.92
1.44,7.35,-5.90
2.99,2.17,0.82
2.77,9.06,-6.29
6.49,9.40,-2.91
7.29,4.03,3.26
7.37,4.49,2.88
4.37,6.76,-2.39
9.22,8.61,0.61
6.09,5.57,0.52
7.27,4.17,3.10
4.02,7.80,-3.78
3.00,1.59,1.41
9.03,2.65,6.38
3.35,4.32,-0.97
1.58,8.22,-6.63
7.15,3.56,3.59
4.08,8.82,-4.74
3.92,3.11,0.81
1.03,5.71,-4.68
5.64,1.56,4.08
5.18,2.04,3.14
4.12,2.82,1.30
2.52,9.35,-6.82
6.16,5.32,0.84
9.10,5.80,3.29
2.40,4.01,-1.61
6.05,8.24,-2.19
2.01,1.14,0.86
9.77,5.62,4.14
3.29,5.18,-1.89
3.12,3.82,-0.70
7.05,4.44,2.61
1.98,4.29,-2.30
4.41,5.83,-1.42
2.83,9.34,-6.50
3.32,1.36,1.95
4.13,3.89,0.24
7.30,5.89,1.41
8.90,2.13,6.76
1.57,6.71,-5.14
6.57,5.18,1.39
6.64,5.54,1.10
5.81,6.66,-0.84
8.81,1.81,7.00
2.51,2.66,-0.15
8.03,1.23,6.80
6.89,9.79,-2.90
6.70,4.00,2.70
2.84,9.53,-6.68
4.84,8.19,-3.35
5.03,2.14,2.90
1.26,4.88,-3.61
8.52,7.18,1.34
2.20,7.80,-5.60
5.40,7.67,-2.27
3.01,1.44,1.57
2.73,9.02,-6.30
5.91,6.15,-0.24
3.46,2.51,0.96
4.51,7.30,-2.79
3.81,4.02,-0.21
6.25,8.36,-2.11
4.58,1.40,3.18
9.44,5.25,4.19
4.68,7.68,-3.00
6.20,8.05,-1.85
9.98,2.48,7.50
2.37,1.87,0.50
5.96,1.88,4.07
8.97,1.25,7.72
5.12,4.73,0.39
6.64,5.07,1.56
5.58,5.37,0.21
7.35,2.23,5.12
2.77,8.41,-5.64
4.51,5.99,-1.48
3.02,7.08,-4.06
1.44,2.14,-0.70
7.93,4.77,3.16
1.31,1.46,-0.14
8.56,3.55,5.02
5.53,2.65,2.89
5.76,6.16,-0.40
5.88,2.06,3.81
3.82,2.97,0.84
7.35,8.72,-1.38
9.50,3.95,5.55
9.08,5.20,3.88
6.41,2.87,3.54
7.76,4.01,3.75
2.34,5.27,-2.93
6.66,4.38,2.28
6.01,3.76,2.25
6.92,6.76,0.16
3.06,3.25,-0.19
3.72,4.47,-0.75
7.91,3.17,4.74
2.52,8.81,-6.29
1.56,3.99,-2.43
2.47,5.65,-3.17
6.74,8.11,-1.37
7.11,2.43,4.68
4.98,4.78,0.20
8.96,1.00,7.96
4.91,3.84,1.07
9.52,9.43,0.09
2.74,9.18,-6.43
4.38,7.01,-2.62
9.19,1.37,7.82
6.80,2.57,4.23
7.52,9.42,-1.90
5.49,4.86,0.64
5.77,8.67,-2.90
3.49,6.25,-2.76
9.88,2.18,7.69
2.83,4.13,-1.30
2.14,3.76,-1.62
1.54,2.57,-1.03
5.50,4.33,1.18
2.34,9.70,-7.36
8.14,1.62,6.51
7.67,9.98,-2.31
7.64,6.93,0.71
7.09,4.68,2.41
3.80,1.66,2.14
1.59,4.45,-2.86
6.77,2.99,3.77
2.45,1.90,0.55
2.17,7.20,-5.03
1.13,9.54,-8.41
5.58,3.96,1.62
2.64,2.52,0.12
4.71,6.98,-2.28
2.01,5.02,-3.01
9.13,3.88,5.25
4.22,2.82,1.40
7.96,7.60,0.36
8.28,4.40,3.88
1.85,8.21,-6.36
1.66,4.81,-3.15
2.20,9.11,-6.92
4.42,9.18,-4.76
7.87,6.79,1.08
5.16,7.63,-2.47
4.37,1.94,2.42
4.48,2.73,1.75
5.23,7.49,-2.26
2.85,5.39,-2.54
6.42,6.23,0.19
7.83,9.77,-1.93
5.94,9.21,-3.26
2.30,7.60,-5.30
1.03,1.86,-0.83
5.91,1.70,4.20
4.54,3.65,0.89
5.43,4.01,1.42
7.03,4.72,2.30
8.93,6.47,2.45
2.07,3.53,-1.46
7.79,9.53,-1.74
8.60,9.11,-0.51
6.45,2.61,3.84
7.49,6.04,1.44
7.59,7.39,0.20
3.54,6.00,-2.46
7.67,9.95,-2.28
4.77,8.01,-3.23
6.26,6.77,-0.50
2.26,5.56,-3.29
3.89,9.79,-5.89
8.32,4.57,3.76
6.58,9.85,-3.26
9.29,8.90,0.39
8.23,7.56,0.67
6.49,2.95,3.54
5.19,3.50,1.69
2.33,7.78,-5.45
5.34,3.05,2.29
2.54,1.49,1.06
5.14,2.07,3.07
3.05,9.08,-6.03
9.64,9.87,-0.23
3.47,8.72,-5.25
6.98,6.41,0.56
1.48,3.51,-2.03
4.30,3.35,0.95
6.36,8.22,-1.85
3.57,6.65,-3.08
1.93,3.71,-1.78
1.41,8.70,-7.29
2.17,3.66,-1.50
4.58,9.47,-4.89
3.49,8.24,-4.74
8.69,8.53,0.16
2.75,5.28,-2.53
8.15,7.90,0.25
4.84,9.41,-4.58
7.66,2.73,4.93
7.71,1.33,6.39
4.81,8.84,-4.02
9.61,9.82,-0.21
4.22,3.81,0.41
4.20,9.10,-4.89
9.58,5.65,3.93
8.31,7.53,0.78
4.19,3.96,0.24
2.99,7.55,-4.57
2.33,1.84,0.49
7.91,7.96,-0.05
5.67,7.40,-1.73
5.80,6.42,-0.62
5.39,8.86,-3.47
1.08,5.79,-4.70
2.65,8.86,-6.21
2.48,4.39,-1.91
2.49,3.39,-0.90
4.72,9.58,-4.87
7.81,4.82,2.99
6.77,3.98,2.79
2.83,4.20,-1.38
8.74,6.79,1.96
5.75,8.12,-2.38
4.78,5.30,-0.51
9.44,2.13,7.31
9.60,5.94,3.66
4.14,9.59,-5.45
3.16,4.64,-1.48
1.43,8.62,-7.19
10.00,1.62,8.38
5.79,6.10,-0.31
4.29,7.91,-3.62
5.27,2.56,2.71
6.13,9.92,-3.78
5.62,9.77,-4.15
1.27,3.49,-2.22
4.20,4.27,-0.07
2.33,3.21,-0.88
5.92,7.39,-1.47
5.18,3.02,2.16
1.50,1.06,0.44
4.70,9.35,-4.64
5.20,3.60,1.60
4.85,7.30,-2.45
9.91,9.52,0.39
4.38,6.76,-2.38
9.79,9.64,0.15
5.51,3.17,2.35
7.89,5.39,2.50
3.45,4.66,-1.21
7.74,8.06,-0.32
1.98,5.99,-4.01
7.43,7.33,0.09
1.15,8.78,-7.63
6.91,3.62,3.29
5.17,9.39,-4.23
3.51,7.38,-3.87
8.34,9.54,-1.19
6.55,1.39,5.16
2.61,3.48,-0.87
4.42,3.49,0.94
4.01,6.46,-2.45
2.87,7.40,-4.53
5.93,3.51,2.42
5.27,3.29,1.97
3.65,2.28,1.38
2.19,9.27,-7.08
8.09,8.44,-0.35
7.46,1.94,5.52
5.55,8.62,-3.08
8.47,2.10,6.37
4.52,1.83,2.69
1.21,8.08,-6.86
8.08,1.03,7.05
7.08,7.63,-0.55
7.77,3.93,3.84
9.85,9.77,0.08
2.20,9.10,-6.90
5.36,3.73,1.63
8.70,2.19,6.51
1.47,9.65,-8.17
5.52,2.50,3.02
5.86,3.21,2.64
3.79,5.13,-1.35
1.16,3.92,-2.76
8.39,6.24,2.14
4.22,1.15,3.06
6.80,3.05,3.75
9.39,3.61,5.78
9.34,3.52,5.82
8.18,1.28,6.90
4.45,9.67,-5.23
1.49,5.03,-3.54
7.86,8.24,-0.38
7.46,9.14,-1.68
9.04,9.43,-0.40
5.97,6.65,-0.68
8.90,9.55,-0.64
8.92,6.22,2.69
6.15,5.85,0.29
2.03,7.91,-5.88
6.37,6.21,0.17
7.90,6.20,1.70
2.52,1.72,0.81
5.65,3.92,1.73
3.07,8.65,-5.58
6.42,3.94,2.47
9.73,4.29,5.44
7.38,8.85,-1.47
8.72,5.00,3.71
3.79,7.48,-3.69
2.75,7.97,-5.22
2.75,4.65,-1.90
8.04,3.30,4.73
1.91,7.18,-5.27
2.93,4.73,-1.80
6.58,9.08,-2.50
2.03,5.79,-3.76
9.21,1.96,7.24
9.45,9.49,-0.04
2.67,5.85,-3.17
6.78,7.89,-1.10
7.64,5.63,2.00
6.66,6.61,0.05
6.65,4.47,2.18
1.48,3.38,-1.90
2.71,5.57,-2.87
8.29,9.40,-1.11
9.85,9.78,0.07
8.26,5.68,2.58
5.80,3.54,2.25
7.60,4.61,2.99
3.90,5.97,-2.07
9.68,6.46,3.22
6.90,5.42,1.49
6.43,7.21,-0.79
5.09,2.41,2.68
3.05,8.19,-5.14
7.81,4.20,3.61
9.13,2.63,6.49
7.32,1.51,5.81
2.46,2.16,0.30
2.48,7.50,-5.01
2.88,2.89,-0.01
2.11,7.99,-5.87
6.36,8.79,-2.43
8.61,8.19,0.42
4.84,6.78,-1.94
1.72,1.64,0.08
1.42,6.53,-5.11
6.39,3.06,3.34
1.30,9.69,-8.39
4.90,4.67,0.23
8.28,6.90,1.38
8.17,3.84,4.33
9.84,6.42,3.42
6.51,7.44,-0.92
7.64,9.86,-2.22
9.44,2.42,7.01
3.90,5.90,-2.00
2.89,5.71,-2.82
9.87,7.92,1.95
8.77,9.99,-1.22
9.94,4.14,5.80
7.58,8.06,-0.47
5.32,1.45,3.87
4.40,3.68,0.73
1.23,4.83,-3.61
7.81,2.47,5.33
4.42,8.09,-3.67
7.34,1.83,5.51
3.85,1.68,2.18
1.77,8.13,-6.36
2.95,5.63,-2.67
1.10,6.46,-5.36
5.52,4.96,0.56
8.23,5.90,2.33
5.89,9.97,-4.08
4.37,3.09,1.28
3.76,7.56,-3.79
5.84,5.78,0.06
3.49,3.05,0.44
7.09,7.50,-0.42
3.22,3.03,0.19
6.23,5.45,0.78
3.80,7.20,-3.40
4.60,4.86,-0.26
7.49,8.02,-0.53
1.47,6.43,-4.96
6.70,1.87,4.84
3.72,7.27,-3.54
3.75,4.57,-0.82
3.17,9.21,-6.03
5.64,6.20,-0.56
4.22,6.66,-2.43
9.43,7.11,2.32
1.81,6.27,-4.46
5.63,5.22,0.42
6.53,9.58,-3.05
1.16,6.65,-5.49
5.01,1.59,3.42
6.71,4.10,2.61
9.24,3.70,5.54
1.62,3.83,-2.22
4.57,6.94,-2.37
4.29,9.29,-5.01
9.25,5.55,3.70
1.99,3.02,-1.03
9.25,9.03,0.22
5.80,9.88,-4.08
9.32,6.14,3.18
7.61,7.11,0.51
8.58,2.93,5.65
3.41,7.01,-3.59
3.89,5.82,-1.93
1.95,6.36,-4.41
7.22,7.75,-0.53
9.89,9.47,0.41
6.99,7.68,-0.69
3.17,6.53,-3.36
1.60,6.59,-4.99
7.26,5.21,2.05
4.54,9.73,-5.19
7.91,5.51,2.41
7.75,4.26,3.49
1.89,1.92,-0.03
7.88,7.16,0.71
2.86,1.02,1.83
7.73,2.72,5.02
3.89,5.02,-1.12
5.87,9.59,-3.73
2.87,4.56,-1.69
5.77,9.91,-4.14
5.09,7.35,-2.26
1.50,4.66,-3.16
4.87,9.02,-4.15
1.10,10.00,-8.90
1.44,6.45,-5.01
4.48,6.48,-2.00
3.09,7.99,-4.89
7.46,1.24,6.22
9.07,7.29,1.79
1.57,9.68,-8.10
9.85,3.78,6.07
7.42,2.83,4.59
8.21,4.79,3.42
8.49,1.89,6.60
7.80,5.77,2.03
6.53,1.87,4.66
2.35,4.60,-2.25
8.79,8.54,0.25
6.18,6.57,-0.38
1.42,8.01,-6.59
5.11,5.99,-0.88
3.98,8.50,-4.52
2.45,6.95,-4.50
3.38,3.17,0.21
3.06,8.32,-5.26
3.23,8.40,-5.18
9.75,8.80,0.95
3.54,1.73,1.81
6.53,5.96,0.57
1.42,7.51,-6.09
5.26,7.79,-2.52
9.84,8.11,1.73
4.04,7.55,-3.51
5.09,6.30,-1.20
5.78,1.53,4.25
8.70,1.29,7.41
8.14,1.95,6.19
7.41,9.92,-2.51
9.65,3.59,6.06
9.26,1.51,7.76
5.77,6.86,-1.09
9.23,5.30,3.93
1.03,7.20,-6.17
4.19,3.16,1.03
8.11,5.07,3.04
6.63,9.85,-3.23
6.99,7.10,-0.12
6.02,2.34,3.69
4.05,5.69,-1.64
8.11,1.21,6.90
6.96,5.76,1.19
5.22,5.10,0.12
7.75,9.04,-1.29
9.04,4.39,4.65
9.20,4.20,5.00
1.20,4.57,-3.37
6.19,2.07,4.12
5.95,2.80,3.15
8.74,8.91,-0.17
6.59,2.22,4.36
3.58,2.41,1.17
3.53,2.38,1.16
2.08,1.18,0.90
8.77,9.94,-1.17
6.82,8.62,-1.80
9.63,2.49,7.15
3.06,8.12,-5.06
9.58,5.54,4.04
1.49,5.33,-3.85
6.72,9.27,-2.56
4.12,2.45,1.67
9.81,1.92,7.89
3.74,6.61,-2.88
1.61,9.86,-8.26
9.40,8.24,1.15
8.95,5.75,3.21
2.94,4.69,-1.75
6.10,7.40,-1.30
8.52,3.44,5.08
4.94,5.86,-0.92
3.66,2.05,1.60
9.88,9.08,0.81
2.50,2.66,-0.16
7.62,8.09,-0.47
5.19,9.54,-4.35
3.84,8.49,-4.65
4.05,9.52,-5.47
7.51,1.25,6.26
8.65,6.69,1.96
7.91,3.52,4.39
2.71,4.77,-2.06
3.94,1.67,2.28
2.35,4.83,-2.48
7.43,1.41,6.02
6.56,4.47,2.09
1.22,8.80,-7.58
1.28,8.06,-6.78
6.18,3.86,2.32
9.25,6.78,2.46
5.44,8.22,-2.78
2.76,7.26,-4.51
7.80,2.50,5.30
4.01,8.23,-4.22
9.60,3.11,6.48
5.81,6.76,-0.96
7.50,3.44,4.06
2.16,8.09,-5.93
4.83,8.22,-3.39
7.26,5.82,1.44
4.40,8.40,-4.00
1.16,4.81,-3.65
5.14,3.65,1.49
1.12,7.30,-6.18
2.38,6.96,-4.58
5.35,6.58,-1.22
7.96,2.17,5.79
9.71,4.37,5.34
3.96,7.92,-3.96
2.66,3.67,-1.01
9.55,3.56,5.99
2.82,6.77,-3.94
7.63,3.61,4.02
1.19,1.03,0.17
2.92,3.59,-0.67
2.42,3.87,-1.45
8.84,1.08,7.76
1.67,4.67,-3.00
8.02,9.02,-1.00
3.66,8.06,-4.40
2.68,4.53,-1.85
1.72,5.85,-4.13
1.11,2.04,-0.93
8.18,2.06,6.12
5.69,4.11,1.58
6.37,2.68,3.69
9.54,9.20,0.34
7.86,2.29,5.57
7.97,2.67,5.29
6.85,3.71,3.13
9.94,2.15,7.78
3.62,6.35,-2.73
5.84,2.62,3.22
8.21,1.08,7.14
8.32,4.51,3.81
9.67,5.36,4.31
9.03,3.41,5.62
3.03,6.61,-3.58
5.84,8.10,-2.26
9.65,8.95,0.70
4.34,9.67,-5.32
3.40,4.06,-0.67
6.33,3.02,3.31
8.18,5.05,3.13
2.53,4.17,-1.64
7.76,2.51,5.25
1.78,5.17,-3.39
7.50,8.05,-0.55
5.00,8.83,-3.84
5.75,6.03,-0.28
6.35,2.71,3.64
6.69,5.46,1.23
4.72,9.42,-4.70
8.47,5.97,2.50
7.61,6.18,1.43
5.41,1.74,3.67
5.36,4.76,0.59
1.73,8.83,-7.10
9.36,9.91,-0.54
5.33,6.99,-1.66
8.15,9.81,-1.67
2.24,2.70,-0.46
4.99,1.43,3.57
9.92,6.66,3.26
6.71,8.95,-2.24
3.67,1.14,2.54
4.29,7.84,-3.55
9.70,2.61,7.09
6.52,3.25,3.27
1.56,6.80,-5.24
2.72,1.44,1.28
7.17,8.13,-0.96
8.43,8.79,-0.36
1.76,6.38,-4.62
1.84,1.01,0.83
1.71,7.04,-5.34
8.72,1.33,7.40
8.56,8.84,-0.28
3.11,8.24,-5.13
3.01,4.68,-1.67
2.86,7.53,-4.68
7.61,5.33,2.29
7.86,4.43,3.42
1.07,8.03,-6.95
5.61,2.56,3.05
3.94,7.63,-3.68
4.26,6.65,-2.39
5.66,9.50,-3.84
3.42,2.85,0.57
3.14,8.03,-4.89
8.97,3.32,5.65
8.12,1.18,6.94
3.81,6.83,-3.02
9.77,4.29,5.48
6.81,3.94,2.87
