Col1,Col2,Col3
7.09,6.28,44.50
5.38,1.79,9.63
8.58,8.75,75.12
1.57,9.74,15.34
2.50,9.51,23.80
1.91,5.07,9.71
9.81,2.92,28.61
2.31,8.66,20.01
4.89,6.14,30.01
4.89,1.09,5.34
2.89,2.44,7.04
6.48,1.96,12.66
6.23,5.44,33.86
4.41,3.15,13.93
8.72,2.97,25.88
9.06,6.73,60.98
7.97,3.45,27.51
4.83,8.16,39.43
4.61,4.66,21.46
9.49,3.53,33.50
1.16,6.80,7.90
8.41,2.90,24.37
8.55,4.71,40.24
4.92,7.64,37.57
3.56,6.23,22.16
7.44,3.95,29.39
3.22,6.55,21.06
3.27,4.19,13.69
4.88,9.60,46.82
6.11,1.57,9.62
9.14,5.62,51.38
7.65,8.21,62.84
4.30,8.94,38.49
1.33,9.04,12.01
8.76,9.34,81.77
9.83,5.34,52.49
7.31,8.03,58.71
3.58,8.02,28.68
2.85,1.64,4.69
4.18,9.95,41.62
2.31,5.06,11.71
4.97,1.45,7.19
3.86,5.47,21.10
3.20,2.29,7.33
9.75,5.74,55.94
3.08,8.08,24.93
8.81,9.64,84.93
7.52,7.18,53.96
6.53,8.50,55.56
7.63,9.74,74.32
5.38,3.93,21.14
7.80,1.22,9.51
8.09,7.74,62.56
5.08,6.59,33.45
7.55,8.74,65.95
7.36,1.71,12.62
1.43,8.34,11.96
7.77,7.63,59.31
3.77,8.45,31.84
8.24,6.24,51.40
3.91,5.31,20.76
5.32,1.24,6.58
9.41,3.37,31.74
3.26,9.24,30.13
1.77,3.91,6.93
4.60,8.63,39.73
3.56,3.31,11.78
9.20,1.60,14.72
9.63,2.79,26.87
1.91,3.24,6.18
2.78,5.80,16.13
4.65,7.21,33.55
2.14,8.09,17.33
3.93,4.63,18.23
1.01,4.68,4.71
2.69,4.54,12.23
2.80,6.25,17.51
3.73,2.53,9.43
3.99,9.24,36.87
1.29,8.41,10.88
1.26,7.94,10.01
4.67,2.41,11.26
4.93,5.09,25.12
4.31,6.00,25.84
3.22,7.36,23.72
6.09,8.53,51.94
3.93,1.64,6.44
7.62,7.51,57.22
8.59,6.35,54.51
3.14,1.02,3.20
1.47,6.59,9.65
1.58,9.08,14.39
3.63,2.72,9.87
1.04,4.88,5.06
2.82,2.85,8.04
5.17,1.09,5.66
8.94,8.17,73.06
5.31,5.38,28.58
7.92,3.84,30.42
9.31,2.85,26.52
7.69,9.88,76.00
4.67,5.41,25.30
9.84,9.36,92.19
4.46,5.31,23.67
9.83,3.00,29.53
6.50,9.48,61.61
6.54,4.60,30.10
1.39,3.68,5.12
2.96,2.57,7.60
1.19,1.32,1.58
5.76,2.15,12.40
3.36,8.92,29.95
8.55,2.87,24.53
9.50,7.61,72.28
2.85,6.72,19.13
8.59,1.90,16.32
8.14,2.22,18.05
8.21,3.53,28.98
1.27,9.45,11.96
2.69,5.47,14.72
5.19,8.05,41.74
9.63,3.84,37.01
9.97,3.25,32.38
4.57,6.46,29.50
9.16,7.63,69.87
8.24,3.63,29.95
5.03,9.04,45.51
9.85,7.61,75.00
5.79,5.75,33.28
5.38,7.48,40.25
3.24,7.73,25.07
6.36,8.37,53.16
1.67,3.86,6.44
5.46,5.85,31.95
2.61,7.49,19.58
3.48,8.04,28.00
2.60,2.75,7.15
2.95,6.51,19.24
2.31,3.32,7.66
1.61,6.91,11.15
7.13,1.05,7.49
7.82,1.17,9.16
3.15,1.04,3.28
8.24,6.60,54.37
7.98,1.92,15.33
1.83,6.26,11.47
5.73,6.70,38.38
4.82,8.83,42.58
4.29,3.41,14.62
5.97,1.67,10.00
4.86,3.54,17.20
4.45,9.39,41.76
5.75,8.77,50.40
1.93,1.52,2.92
5.26,1.39,7.30
7.17,5.09,36.50
8.34,9.39,78.40
9.30,6.10,56.78
5.47,8.91,48.77
7.55,4.42,33.36
5.32,5.15,27.39
3.53,9.03,31.89
4.49,1.89,8.50
1.12,4.28,4.81
2.99,1.38,4.13
5.44,7.21,39.17
6.20,4.16,25.79
4.51,1.71,7.72
3.98,6.73,26.78
7.83,1.64,12.80
6.84,3.50,23.94
8.41,1.15,9.69
2.41,7.45,17.97
3.58,4.02,14.38
3.46,9.57,33.11
5.23,3.88,20.32
4.07,4.29,17.45
7.15,8.78,62.78
8.13,3.33,27.10
2.15,7.53,16.22
9.70,8.07,78.25
4.90,6.63,32.51
5.43,2.79,15.13
5.88,6.48,38.14
6.80,7.27,49.42
1.15,6.03,6.92
8.92,3.89,34.74
1.68,1.72,2.88
1.81,2.43,4.39
1.34,2.71,3.63
8.47,2.23,18.90
3.84,5.86,22.50
2.48,7.85,19.42
7.16,8.87,63.54
7.33,4.11,30.12
3.62,1.43,5.18
3.67,4.08,14.97
2.90,7.95,23.06
6.44,8.07,52.01
1.43,6.63,9.49
4.63,6.73,31.17
6.09,9.38,57.12
7.73,9.34,72.14
3.71,5.92,22.00
9.13,6.91,63.09
4.77,7.74,36.91
1.93,1.97,3.81
5.08,1.27,6.43
3.48,8.45,29.39
7.69,8.17,62.77
1.14,8.11,9.29
7.48,5.27,39.45
8.60,1.81,15.55
9.66,5.10,49.29
7.64,4.77,36.44
3.19,4.32,13.78
9.65,1.27,12.26
6.47,1.61,10.44
1.60,2.90,4.65
9.82,9.54,93.64
8.49,7.48,63.51
9.73,3.33,32.38
3.68,3.10,11.40
7.59,3.02,22.96
1.05,3.90,4.11
5.22,9.26,48.30
2.14,2.63,5.63
7.38,8.69,64.13
3.08,3.06,9.42
2.46,7.07,17.37
5.51,6.81,37.50
6.77,7.41,50.12
9.72,8.73,84.92
4.40,4.31,18.95
9.07,7.60,68.94
9.41,4.75,44.66
3.28,5.82,19.10
3.77,2.66,10.01
6.38,2.24,14.29
6.00,4.95,29.72
6.18,6.20,38.30
4.19,1.23,5.17
9.75,1.94,18.92
9.30,5.35,49.80
3.61,5.72,20.66
8.79,8.41,73.92
6.14,5.51,33.85
1.09,9.48,10.37
7.71,3.51,27.09
1.55,1.71,2.65
3.68,7.66,28.21
9.99,9.09,90.81
2.42,4.25,10.29
4.63,3.50,16.21
6.15,7.06,43.41
7.92,4.47,35.39
6.06,1.79,10.83
3.08,9.16,28.19
3.54,3.19,11.30
8.63,8.05,69.53
8.02,4.72,37.84
7.43,5.05,37.52
6.08,9.81,59.66
7.70,3.79,29.21
9.43,6.38,60.11
9.25,2.64,24.45
7.00,1.42,9.96
4.21,6.87,28.87
4.50,2.39,10.75
6.09,8.89,54.20
9.98,6.44,64.33
5.47,5.74,31.43
3.92,1.23,4.83
7.89,3.95,31.16
4.53,2.52,11.41
5.64,4.55,25.66
3.77,8.16,30.79
2.48,5.13,12.70
2.80,6.57,18.39
8.86,2.64,23.41
9.62,9.27,89.16
4.70,5.46,25.69
7.21,2.32,16.70
1.93,5.82,11.23
1.97,3.56,7.02
6.46,7.53,48.64
3.53,7.52,26.55
1.62,6.79,11.01
8.42,7.35,61.86
5.23,4.14,21.67
4.14,1.68,6.94
6.03,6.04,36.40
3.29,8.08,26.55
2.26,5.62,12.72
8.37,4.36,36.46
8.58,1.80,15.49
8.64,4.15,35.82
2.32,3.09,7.19
6.54,4.88,31.95
4.38,6.43,28.20
1.87,2.28,4.26
4.57,4.48,20.47
6.53,1.61,10.52
5.58,7.37,41.12
6.00,3.01,18.09
6.84,5.13,35.08
5.23,9.22,48.25
5.06,5.64,28.53
4.06,3.28,13.29
6.63,3.54,23.45
4.07,3.07,12.51
9.15,4.16,38.05
9.49,5.49,52.13
1.93,7.72,14.91
8.62,9.88,85.17
6.78,1.21,8.19
9.60,6.63,63.69
2.98,9.08,27.05
8.80,8.53,75.05
1.03,4.17,4.31
7.79,1.84,14.36
8.05,9.24,74.40
3.25,7.21,23.47
8.78,4.18,36.70
3.36,1.08,3.62
7.42,5.00,37.11
8.19,9.69,79.34
8.09,9.65,78.14
8.24,4.11,33.84
4.76,1.58,7.54
4.55,6.63,30.15
6.17,1.00,6.17
7.76,9.43,73.15
4.90,1.62,7.93
4.90,1.31,6.41
7.46,7.39,55.13
4.47,3.89,17.38
6.86,7.63,52.36
9.43,8.16,76.97
2.03,3.58,7.25
9.61,8.22,79.07
9.12,8.39,76.47
1.42,5.28,7.51
4.09,9.22,37.73
6.67,4.01,26.71
6.98,9.57,66.73
4.32,7.78,33.58
9.40,9.19,86.36
5.01,1.46,7.31
3.40,2.70,9.19
1.86,4.03,7.49
1.09,1.75,1.90
6.02,6.42,38.65
9.92,9.74,96.64
9.48,3.11,29.50
4.76,3.52,16.77
8.73,6.21,54.22
1.89,5.96,11.27
7.45,1.97,14.68
6.51,6.14,39.98
2.96,2.48,7.35
5.68,7.26,41.21
2.02,7.19,14.56
3.40,2.86,9.74
9.88,4.40,43.53
2.84,2.47,7.00
2.73,7.69,21.01
5.67,3.25,18.43
6.55,3.18,20.82
6.40,8.78,56.16
2.64,2.90,7.64
2.45,6.39,15.65
7.77,1.02,7.90
4.94,6.18,30.52
5.07,1.62,8.20
2.33,2.06,4.80
1.38,4.87,6.73
5.38,4.80,25.79
2.21,5.25,11.62
9.23,8.06,74.45
1.54,4.95,7.62
7.11,7.20,51.18
8.50,1.89,16.08
1.86,4.58,8.52
4.10,6.10,25.02
2.86,5.15,14.73
5.90,9.53,56.24
2.70,6.39,17.26
2.71,5.31,14.40
7.40,2.35,17.40
7.12,2.12,15.11
5.41,4.97,26.90
6.58,6.79,44.66
4.40,2.27,10.00
2.62,2.59,6.80
5.32,9.46,50.39
1.79,9.03,16.13
2.70,2.28,6.17
3.02,4.62,13.96
2.27,6.31,14.31
5.55,1.93,10.72
6.54,8.00,52.35
3.35,4.64,15.52
9.28,4.44,41.24
9.32,4.22,39.32
6.82,4.16,28.36
4.30,5.62,24.16
1.07,2.51,2.68
9.58,8.84,84.71
6.88,7.98,54.87
8.50,7.01,59.58
1.00,6.19,6.19
4.71,1.65,7.78
4.06,9.69,39.37
1.56,7.53,11.73
8.11,5.78,46.88
1.34,2.46,3.29
6.91,3.30,22.81
4.09,4.36,17.80
6.47,4.09,26.47
7.14,8.82,63.00
3.31,8.41,27.80
1.79,6.67,11.95
7.02,5.72,40.13
6.39,7.73,49.43
1.80,2.85,5.14
5.83,6.10,35.54
4.90,1.11,5.42
3.90,2.58,10.06
6.41,7.13,45.67
3.70,8.28,30.65
8.49,1.65,14.02
1.91,7.14,13.64
5.97,6.05,36.09
4.23,2.79,11.80
1.31,8.61,11.26
1.90,6.25,11.89
1.15,1.15,1.33
2.75,6.62,18.24
6.58,8.99,59.15
3.82,4.07,15.53
4.92,1.10,5.44
4.21,2.41,10.13
7.79,3.05,23.76
1.28,2.08,2.67
5.70,4.27,24.32
1.26,3.56,4.48
1.79,9.16,16.37
8.62,8.00,68.95
8.64,1.62,13.96
7.17,1.48,10.62
4.64,1.18,5.46
5.47,2.86,15.63
2.03,3.27,6.64
7.44,2.19,16.33
3.15,6.67,21.03
9.67,8.59,83.10
6.46,3.60,23.28
1.93,8.96,17.26
5.44,8.79,47.76
1.66,8.39,13.96
6.05,2.09,12.62
4.38,4.33,18.94
1.37,1.77,2.42
8.26,9.16,75.70
7.56,4.35,32.89
2.55,2.85,7.24
9.91,3.68,36.45
7.92,9.78,77.48
9.23,8.67,80.01
1.43,9.90,14.13
5.19,4.05,21.03
7.56,9.05,68.41
2.68,4.35,11.68
8.23,6.40,52.73
5.82,6.02,35.07
4.89,8.57,41.85
6.58,5.82,38.30
4.82,7.25,34.93
8.43,2.03,17.12
2.20,6.98,15.35
8.35,6.30,52.62
5.77,1.16,6.71
7.15,9.79,69.99
4.33,8.15,35.30
6.48,2.63,17.02
6.34,3.85,24.38
6.94,9.57,66.39
6.44,6.36,40.99
9.97,6.14,61.29
5.86,2.84,16.60
8.78,9.49,83.28
3.48,3.80,13.22
8.00,3.54,28.31
7.55,8.76,66.15
1.04,5.41,5.62
8.78,5.20,45.68
5.55,2.40,13.34
1.76,8.56,15.07
2.38,8.51,20.27
2.04,7.04,14.37
9.43,2.75,25.92
6.64,1.20,7.93
8.10,6.86,55.62
8.77,3.92,34.43
4.80,3.21,15.41
6.89,4.33,29.86
6.14,2.36,14.48
6.40,8.62,55.16
2.75,6.00,16.53
5.64,5.79,32.66
6.92,1.31,9.04
2.41,2.47,5.95
7.22,2.07,14.94
5.90,1.03,6.11
4.14,6.02,24.97
2.33,3.57,8.31
2.14,1.91,4.08
4.97,6.61,32.80
2.81,6.22,17.45
7.68,3.53,27.11
7.14,7.78,55.56
9.61,8.77,84.31
6.57,8.42,55.29
5.83,8.15,47.53
1.65,9.31,15.33
5.19,9.00,46.66
3.34,2.46,8.21
4.89,7.30,35.71
4.52,8.27,37.38
3.04,1.35,4.12
8.43,5.95,50.17
3.42,5.91,20.22
2.18,3.46,7.56
1.45,8.41,12.18
5.90,7.52,44.34
1.24,8.85,10.98
6.97,9.16,63.88
7.11,6.67,47.48
7.76,1.27,9.85
7.10,4.95,35.17
9.92,3.02,29.97
2.54,2.89,7.36
8.41,3.52,29.62
8.38,8.53,71.50
3.98,5.17,20.57
1.26,1.40,1.76
8.20,6.92,56.74
5.71,8.57,48.93
9.64,9.03,87.05
2.59,5.50,14.27
8.10,2.83,22.95
5.85,7.03,41.15
9.93,7.87,78.11
3.52,2.84,9.97
5.05,8.83,44.63
7.76,4.16,32.32
9.52,7.02,66.81
4.68,3.72,17.43
9.93,8.72,86.62
6.85,8.04,55.07
3.84,9.03,34.64
2.72,9.47,25.72
8.59,3.31,28.41
3.87,1.35,5.22
4.01,9.85,39.52
2.25,3.36,7.57
5.78,3.72,21.53
2.37,5.38,12.76
3.04,4.09,12.46
3.15,6.05,19.06
2.28,7.80,17.75
8.83,7.83,69.18
2.50,5.21,13.00
4.67,1.40,6.54
9.47,8.70,82.40
4.29,2.50,10.71
9.03,1.88,16.93
2.16,5.32,11.46
4.44,4.40,19.54
2.17,3.46,7.53
6.60,2.23,14.72
4.99,7.04,35.12
2.36,5.33,12.58
3.87,8.55,33.11
5.39,3.60,19.42
3.05,8.30,25.29
3.88,2.77,10.76
9.76,8.49,82.80
1.80,3.73,6.71
4.93,3.97,19.59
7.33,3.69,27.05
2.32,9.19,21.35
8.57,7.63,65.44
9.48,6.37,60.37
8.27,6.49,53.69
8.31,4.62,38.40
2.63,6.43,16.90
6.66,4.33,28.82
1.46,1.97,2.88
2.94,6.81,20.02
4.10,9.46,38.79
2.03,3.93,7.98
2.66,1.58,4.20
9.89,5.21,51.56
7.04,6.15,43.28
3.41,3.09,10.56
2.87,1.61,4.62
7.84,8.18,64.11
2.57,2.43,6.25
7.01,3.54,24.81
1.87,3.41,6.36
5.58,1.14,6.37
3.29,7.86,25.85
7.63,8.61,65.71
7.32,5.21,38.12
1.72,1.13,1.93
1.13,7.72,8.74
7.97,1.91,15.23
1.26,4.98,6.26
4.61,4.14,19.08
9.05,2.58,23.39
9.84,1.75,17.25
8.32,6.34,52.78
3.11,8.38,26.09
7.06,5.05,35.70
5.38,4.96,26.72
1.05,6.00,6.33
6.44,3.67,23.62
6.81,9.58,65.24
5.30,9.33,49.41
3.47,2.59,8.99
4.85,9.66,46.81
3.77,5.91,22.28
8.60,3.21,27.61
2.60,4.07,10.58
9.72,4.02,39.04
8.90,8.31,73.93
4.15,5.47,22.68
3.51,8.52,29.92
3.38,1.22,4.11
7.13,6.40,45.64
1.39,7.44,10.36
9.17,5.14,47.15
9.84,2.72,26.73
6.82,8.90,60.76
9.73,9.18,89.30
4.66,6.48,30.16
8.62,3.20,27.61
7.76,1.66,12.85
9.48,6.17,58.51
6.86,6.28,43.06
5.95,1.90,11.31
4.56,6.38,29.11
9.32,6.71,62.48
1.19,8.47,10.11
3.05,9.95,30.36
5.47,5.22,28.58
7.30,8.36,61.04
4.19,5.24,21.92
5.54,2.35,13.04
6.59,1.60,10.55
9.26,1.29,11.94
3.42,5.98,20.45
8.58,8.12,69.73
8.60,6.91,59.40
1.88,1.31,2.46
8.50,8.43,71.65
5.01,6.42,32.22
4.90,7.37,36.16
4.76,3.50,16.67
2.73,4.95,13.50
6.87,4.50,30.93
8.61,6.16,53.06
1.10,5.47,6.03
1.26,1.39,1.75
5.95,9.36,55.69
5.92,5.83,34.50
8.67,7.07,61.31
5.75,6.97,40.09
6.51,7.50,48.82
7.93,4.87,38.59
5.06,7.32,37.08
9.88,7.82,77.26
5.58,6.57,36.64
1.64,4.83,7.90
8.97,8.16,73.22
4.91,8.71,42.78
3.53,8.85,31.22
9.67,3.47,33.54
2.62,1.05,2.75
7.97,3.62,28.84
8.33,4.58,38.11
7.86,9.55,75.05
4.19,6.32,26.48
3.60,4.78,17.21
5.78,2.06,11.92
8.91,3.64,32.39
3.15,7.01,22.12
3.62,5.08,18.42
4.92,1.99,9.79
1.58,4.22,6.68
7.44,3.94,29.31
9.56,7.67,73.30
6.53,2.39,15.57
8.82,5.20,45.90
1.83,1.99,3.63
9.16,1.71,15.71
9.77,2.73,26.66
3.87,6.48,25.04
3.96,7.49,29.63
7.80,6.98,54.42
2.94,8.05,23.70
4.78,9.80,46.81
5.19,4.49,23.31
2.08,4.20,8.74
5.67,7.26,41.13
7.64,3.85,29.44
5.90,7.35,43.34
5.27,3.21,16.89
2.90,8.22,23.83
4.64,2.02,9.38
3.55,8.80,31.21
1.64,1.54,2.53
6.72,9.24,62.10
5.24,7.56,39.65
7.93,9.70,76.89
4.07,1.32,5.37
1.73,5.41,9.36
5.14,2.35,12.07
9.15,4.79,43.86
1.16,2.22,2.58
4.90,8.49,41.60
6.81,1.76,11.96
7.86,3.23,25.33
6.07,3.17,19.25
3.64,4.62,16.79
8.59,3.25,27.90
3.68,7.92,29.16
4.98,8.73,43.43
7.00,7.58,53.06
2.75,9.41,25.88
8.22,1.55,12.76
9.34,5.15,48.13
9.83,2.08,20.40
1.39,7.72,10.75
3.98,6.60,26.27
4.98,7.10,35.38
8.57,4.07,34.84
3.40,5.18,17.60
5.53,1.08,5.97
4.03,8.76,35.34
6.00,1.02,6.11
7.30,9.47,69.14
3.41,2.45,8.36
1.80,4.17,7.49
5.15,9.65,49.74
1.07,1.28,1.37
7.00,4.73,33.09
2.05,4.21,8.61
4.70,3.21,15.08
7.50,5.49,41.17
7.97,4.42,35.28
5.94,4.35,25.81
5.60,4.62,25.86
9.31,9.60,89.36
6.94,5.00,34.67
5.60,3.76,21.07
4.62,5.43,25.06
4.06,3.17,12.86
5.45,9.10,49.60
5.38,5.96,32.08
4.34,1.05,4.56
7.62,9.92,75.60
3.43,6.53,22.38
4.77,3.37,16.09
4.65,3.40,15.84
2.74,8.64,23.67
5.92,5.93,35.09
1.11,7.24,8.06
3.21,3.05,9.77
5.08,7.53,38.28
7.50,6.51,48.76
8.07,3.62,29.22
2.69,5.03,13.50
7.20,5.59,40.24
7.21,3.63,26.15
8.64,2.81,24.29
9.48,2.95,27.94
1.40,5.01,7.01
3.38,5.18,17.51
4.19,2.74,11.48
7.33,3.56,26.10
3.08,1.25,3.84
3.13,5.12,16.04
7.25,6.41,46.47
2.07,5.50,11.40
6.85,8.44,57.82
6.65,2.13,14.13
5.23,4.87,25.48
8.12,5.10,41.40
3.17,9.05,28.66
7.98,6.36,50.72
8.89,7.97,70.86
6.44,4.22,27.19
6.43,3.71,23.83
5.39,2.87,15.47
5.25,3.87,20.29
4.65,2.22,10.33
8.26,8.37,69.16
9.25,4.51,41.69
2.68,7.75,20.77
8.14,8.29,67.46
5.33,9.37,49.96
2.96,9.43,27.88
6.33,1.07,6.78
4.45,5.93,26.37
7.37,8.22,60.59
1.83,9.62,17.62
1.34,2.49,3.33
5.22,2.76,14.42
8.45,3.51,29.70
7.68,8.18,62.79
7.62,2.42,18.45
2.55,6.91,17.60
6.74,3.08,20.73
7.86,1.77,13.89
1.23,5.22,6.41
1.33,4.40,5.87
4.35,4.96,21.59
4.32,5.41,23.39
9.54,1.28,12.17
4.18,7.23,30.20
6.82,4.19,28.61
1.11,8.43,9.37
2.26,3.29,7.44
4.82,5.50,26.50
9.99,8.87,88.60
8.05,6.19,49.79
3.83,8.44,32.33
2.63,5.88,15.44
4.81,5.07,24.37
1.32,9.74,12.81
2.20,8.04,17.64
4.72,6.68,31.50
9.49,9.01,85.49
9.38,1.34,12.59
5.14,6.76,34.80
5.55,1.58,8.76
9.49,3.54,33.56
1.61,2.18,3.51
2.10,6.51,13.69
4.66,2.42,11.25
6.41,6.67,42.81
9.48,7.30,69.24
1.93,2.31,4.46
4.77,8.11,38.67
1.43,2.71,3.89
4.53,3.02,13.69
5.71,3.04,17.37
7.87,3.89,30.62
7.18,2.58,18.52
1.90,8.38,15.89
9.44,4.91,46.29
3.87,4.14,16.00
7.58,7.13,54.00
3.27,5.16,16.87
4.62,6.01,27.76
7.01,5.28,37.00
2.84,8.94,25.42
3.87,6.35,24.57
5.02,8.27,41.51
5.19,8.33,43.26
3.00,2.52,7.54
2.75,1.26,3.46
2.11,4.98,10.52
9.92,1.39,13.78
5.71,8.49,48.45
4.51,6.31,28.48
5.17,9.26,47.88
6.46,8.22,53.12
2.49,5.53,13.73
2.70,9.56,25.76
5.96,3.36,20.04
2.14,2.22,4.76
9.05,2.72,24.61
6.81,9.57,65.18
2.37,4.91,11.65
9.10,5.42,49.33
8.19,9.42,77.16
2.41,6.33,15.24
6.63,9.26,61.46
1.88,9.04,17.00
5.40,3.45,18.64
8.40,7.04,59.12
4.50,7.41,33.30
1.37,1.39,1.89
1.11,2.50,2.77
3.83,8.70,33.35
6.05,2.85,17.23
2.36,9.19,21.74
3.82,1.96,7.49
